date_appel,Entite,Famille,Nombre_entrants_corrige
2023-03-17,Entite 1,F7,384.29111111
2023-03-18,Entite 1,F7,87.0
2023-03-19,Entite 1,F7,0.0
2023-03-20,Entite 1,F7,374.21704036
2023-03-21,Entite 1,F7,408.3293617
2023-03-22,Entite 1,F7,373.71683168
2023-03-23,Entite 1,F7,334.87826087
2023-03-24,Entite 1,F7,408.85046729
2023-03-25,Entite 1,F7,100.84516129
2023-03-26,Entite 1,F7,0.0
2023-03-27,Entite 1,F7,439.4875502
2023-03-28,Entite 1,F7,345.06237624
2023-03-29,Entite 1,F7,324.0
2023-03-30,Entite 1,F7,301.85889571
2023-03-31,Entite 1,F7,315.22674419
2023-03-01,Entite 2,F1,1267.6026
2023-03-02,Entite 2,F1,1397.2653169
2023-03-03,Entite 2,F1,1191.3577731
2023-03-04,Entite 2,F1,309.1329588
2023-03-05,Entite 2,F1,0.0
2023-03-06,Entite 2,F1,1475.9704835
2023-03-07,Entite 2,F1,1354.834657
2023-03-08,Entite 2,F1,1529.730165
2023-03-09,Entite 2,F1,1370.5252236
2023-03-10,Entite 2,F1,1188.2861084
2023-03-11,Entite 2,F1,364.61538462
2023-03-12,Entite 2,F1,0.0
2023-03-13,Entite 2,F1,1484.9084104
2023-03-14,Entite 2,F1,1165.0756785
2023-03-15,Entite 2,F1,1293.539961
2023-03-16,Entite 2,F1,1359.666115
2023-03-17,Entite 2,F1,1108.0742145
2023-03-18,Entite 2,F1,289.87142857
2023-03-19,Entite 2,F1,0.0
2023-03-20,Entite 2,F1,1284.0638783
2023-03-21,Entite 2,F1,1187.1790698
2023-03-22,Entite 2,F1,1231.4818533
2023-03-23,Entite 2,F1,1155.4594937
2023-03-24,Entite 2,F1,1046.1679335
2023-03-25,Entite 2,F1,301.5203125
2023-03-26,Entite 2,F1,0.0
2023-03-27,Entite 2,F1,1184.7246006
2023-03-28,Entite 2,F1,1058.7368899
2023-03-29,Entite 2,F1,1040.6257009
2023-03-30,Entite 2,F1,1161.6357988
2023-03-31,Entite 2,F1,1078.3825079
2023-03-01,Entite 2,F2,530.91355463
2023-03-02,Entite 2,F2,559.48844567
2023-03-03,Entite 2,F2,534.56577778
2023-03-04,Entite 2,F2,91.029824561
2023-03-05,Entite 2,F2,0.0
2023-03-06,Entite 2,F2,717.32260062
2023-03-07,Entite 2,F2,670.37357631
2023-03-08,Entite 2,F2,597.97557998
2023-03-09,Entite 2,F2,642.45550459
2023-03-10,Entite 2,F2,651.0869379
2023-03-11,Entite 2,F2,112.41077844
2023-03-12,Entite 2,F2,0.0
2023-03-13,Entite 2,F2,671.20810811
2023-03-14,Entite 2,F2,657.24873853
2023-03-15,Entite 2,F2,571.81956258
2023-03-16,Entite 2,F2,581.64338139
2023-03-17,Entite 2,F2,556.37065637
2023-03-18,Entite 2,F2,110.66143791
2023-03-19,Entite 2,F2,0.0
2023-03-20,Entite 2,F2,575.82583222
2023-03-21,Entite 2,F2,680.88382353
2023-03-22,Entite 2,F2,494.01295419
