Date,Entite,instance,Nb_recus
2023-03-30,Entite 5,SAV,444.0
2023-03-31,Entite 5,SAV,401.0
2023-03-01,Entite 6,SAV,160.0
2023-03-02,Entite 6,SAV,138.0
2023-03-03,Entite 6,SAV,116.0
2023-03-04,Entite 6,SAV,55.0
2023-03-05,Entite 6,SAV,36.0
2023-03-06,Entite 6,SAV,134.0
2023-03-07,Entite 6,SAV,150.0
2023-03-08,Entite 6,SAV,146.0
2023-03-09,Entite 6,SAV,149.0
2023-03-10,Entite 6,SAV,113.0
2023-03-11,Entite 6,SAV,47.0
2023-03-12,Entite 6,SAV,41.0
2023-03-13,Entite 6,SAV,108.0
2023-03-14,Entite 6,SAV,155.0
2023-03-15,Entite 6,SAV,127.0
2023-03-16,Entite 6,SAV,143.0
2023-03-17,Entite 6,SAV,108.0
2023-03-18,Entite 6,SAV,47.0
2023-03-19,Entite 6,SAV,31.0
2023-03-20,Entite 6,SAV,130.0
2023-03-21,Entite 6,SAV,109.0
2023-03-22,Entite 6,SAV,119.0
2023-03-23,Entite 6,SAV,107.0
2023-03-24,Entite 6,SAV,92.0
2023-03-25,Entite 6,SAV,41.0
2023-03-26,Entite 6,SAV,43.0
2023-03-27,Entite 6,SAV,95.0
2023-03-28,Entite 6,SAV,103.0
2023-03-29,Entite 6,SAV,128.0
2023-03-30,Entite 6,SAV,128.0
2023-03-31,Entite 6,SAV,109.0
2023-03-01,Entite 7,COMMERCE,21.0
2023-03-02,Entite 7,COMMERCE,14.0
2023-03-03,Entite 7,COMMERCE,11.0
2023-03-04,Entite 7,COMMERCE,3.0
2023-03-05,Entite 7,COMMERCE,1.0
2023-03-06,Entite 7,COMMERCE,30.0
2023-03-07,Entite 7,COMMERCE,17.0
2023-03-08,Entite 7,COMMERCE,18.0
2023-03-09,Entite 7,COMMERCE,13.0
2023-03-10,Entite 7,COMMERCE,12.0
2023-03-11,Entite 7,COMMERCE,8.0
2023-03-12,Entite 7,COMMERCE,2.0
2023-03-13,Entite 7,COMMERCE,18.0
2023-03-14,Entite 7,COMMERCE,11.0
2023-03-15,Entite 7,COMMERCE,20.0
2023-03-16,Entite 7,COMMERCE,13.0
2023-03-17,Entite 7,COMMERCE,13.0
2023-03-18,Entite 7,COMMERCE,3.0
2023-03-19,Entite 7,COMMERCE,0.0
2023-03-20,Entite 7,COMMERCE,19.0
2023-03-21,Entite 7,COMMERCE,18.0
2023-03-22,Entite 7,COMMERCE,24.0
2023-03-23,Entite 7,COMMERCE,21.0
2023-03-24,Entite 7,COMMERCE,17.0
2023-03-25,Entite 7,COMMERCE,6.0
2023-03-26,Entite 7,COMMERCE,1.0
2023-03-27,Entite 7,COMMERCE,20.0
2023-03-28,Entite 7,COMMERCE,18.0
2023-03-29,Entite 7,COMMERCE,15.0
2023-03-30,Entite 7,COMMERCE,21.0
2023-03-31,Entite 7,COMMERCE,29.0
2023-03-01,Entite 8,SAV,558.0
2023-03-02,Entite 8,SAV,501.0
2023-03-03,Entite 8,SAV,405.0
2023-03-04,Entite 8,SAV,328.0
2023-03-05,Entite 8,SAV,296.0
2023-03-06,Entite 8,SAV,615.0
2023-03-07,Entite 8,SAV,642.0
2023-03-08,Entite 8,SAV,553.0
2023-03-09,Entite 8,SAV,591.0
2023-03-10,Entite 8,SAV,485.0
2023-03-11,Entite 8,SAV,355.0
2023-03-12,Entite 8,SAV,293.0
2023-03-13,Entite 8,SAV,470.0
2023-03-14,Entite 8,SAV,526.0
2023-03-15,Entite 8,SAV,546.0
2023-03-16,Entite 8,SAV,472.0
2023-03-17,Entite 8,SAV,401.0
2023-03-18,Entite 8,SAV,282.0
2023-03-19,Entite 8,SAV,291.0
2023-03-20,Entite 8,SAV,483.0
2023-03-21,Entite 8,SAV,540.0
2023-03-22,Entite 8,SAV,555.0
2023-03-23,Entite 8,SAV,465.0
2023-03-24,Entite 8,SAV,393.0
2023-03-25,Entite 8,SAV,258.0
2023-03-26,Entite 8,SAV,262.0
2023-03-27,Entite 8,SAV,413.0
2023-03-28,Entite 8,SAV,433.0
2023-03-29,Entite 8,SAV,502.0
2023-03-30,Entite 8,SAV,451.0
2023-03-31,Entite 8,SAV,426.0
