date_appel,Entite,Famille,Nombre_entrants_corrige
2019-01-19,Entite 2,F1,474.0
2019-01-19,Entite 2,F2,309.0
2019-01-19,Entite 2,F3,97.0
2019-01-19,Entite 3,F2,1.0
2019-01-19,Entite 3,F7,31.0
2019-01-19,Entite 5,F1,11.0
2019-01-19,Entite 5,F2,203.0
2019-01-19,Entite 5,F3,28.0
2019-01-19,Entite 5,F5,145.0
2019-01-19,Entite 5,F6,469.0
2019-01-19,Entite 5,F7,1028.0
2019-01-21,Entite 1,F1,45.0
2019-01-21,Entite 1,F2,252.0
2019-01-21,Entite 1,F3,303.0
2019-01-21,Entite 1,F4,1.0
2019-01-21,Entite 1,F5,136.0
2019-01-21,Entite 1,F6,1793.0
2019-01-21,Entite 1,F7,837.0
2019-01-21,Entite 2,F1,2163.0
2019-01-21,Entite 2,F2,1298.0
2019-01-21,Entite 2,F3,517.0
2019-01-21,Entite 2,F5,2.0
2019-01-21,Entite 3,F2,9.0
2019-01-21,Entite 3,F5,595.0
2019-01-21,Entite 3,F7,1042.0
2019-01-21,Entite 4,F5,40.0
2019-01-21,Entite 4,F7,550.0
2019-01-21,Entite 5,F1,61.0
2019-01-21,Entite 5,F2,953.0
2019-01-21,Entite 5,F3,35.0
2019-01-21,Entite 5,F5,534.0
2019-01-21,Entite 5,F6,702.0
2019-01-21,Entite 5,F7,4471.0
2019-01-22,Entite 1,F1,58.0
2019-01-22,Entite 1,F2,205.0
2019-01-22,Entite 1,F3,295.0
2019-01-22,Entite 1,F5,122.0
2019-01-22,Entite 1,F6,1778.0
2019-01-22,Entite 1,F7,879.0
2019-01-22,Entite 2,F1,1909.0
2019-01-22,Entite 2,F2,1284.0
2019-01-22,Entite 2,F3,455.0
2019-01-22,Entite 3,F2,10.0
2019-01-22,Entite 3,F5,499.0
2019-01-22,Entite 3,F7,966.0
2019-01-22,Entite 4,F5,37.0
2019-01-22,Entite 4,F7,401.0
2019-01-22,Entite 5,F1,41.0
2019-01-22,Entite 5,F2,979.0
2019-01-22,Entite 5,F3,31.0
2019-01-22,Entite 5,F5,586.0
2019-01-22,Entite 5,F6,591.0
2019-01-22,Entite 5,F7,4212.0
2019-01-23,Entite 1,F1,61.0
2019-01-23,Entite 1,F2,160.0
2019-01-23,Entite 1,F3,215.0
2019-01-23,Entite 1,F5,121.0
2019-01-23,Entite 1,F6,1585.0
2019-01-23,Entite 1,F7,808.0
2019-01-23,Entite 2,F1,1695.0
2019-01-23,Entite 2,F2,1119.0
2019-01-23,Entite 2,F3,367.0
2019-01-23,Entite 3,F2,29.0
2019-01-23,Entite 3,F5,504.0
2019-01-23,Entite 3,F7,884.0
2019-01-23,Entite 4,F5,51.0
2019-01-23,Entite 4,F7,428.0
2019-01-23,Entite 5,F1,26.0
2019-01-23,Entite 5,F2,894.0
2019-01-23,Entite 5,F3,26.0
2019-01-23,Entite 5,F5,475.0
2019-01-23,Entite 5,F6,608.0
2019-01-23,Entite 5,F7,3834.0
2019-01-24,Entite 1,F1,44.0
2019-01-24,Entite 1,F2,185.0
2019-01-24,Entite 1,F3,247.0
2019-01-24,Entite 1,F5,102.0
