date_appel;Entite;Famille;Nombre_entrants_corrige
29/01/2019;Entite 4;F7;405
29/01/2019;Entite 5;F1;30
29/01/2019;Entite 5;F2;897
29/01/2019;Entite 5;F3;27
29/01/2019;Entite 5;F5;552
29/01/2019;Entite 5;F6;639
29/01/2019;Entite 5;F7;4053
30/01/2019;Entite 1;F1;18
30/01/2019;Entite 1;F2;160
30/01/2019;Entite 1;F3;232
30/01/2019;Entite 1;F4;4
30/01/2019;Entite 1;F5;118
30/01/2019;Entite 1;F6;1627
30/01/2019;Entite 1;F7;955
30/01/2019;Entite 2;F1;1819
30/01/2019;Entite 2;F2;1010
30/01/2019;Entite 2;F3;339
30/01/2019;Entite 3;F2;24
30/01/2019;Entite 3;F5;576
30/01/2019;Entite 3;F7;997
30/01/2019;Entite 4;F5;45
30/01/2019;Entite 4;F7;487
30/01/2019;Entite 5;F1;25
30/01/2019;Entite 5;F2;856
30/01/2019;Entite 5;F3;32
30/01/2019;Entite 5;F5;602
30/01/2019;Entite 5;F6;584
30/01/2019;Entite 5;F7;4178
31/01/2019;Entite 1;F1;11
31/01/2019;Entite 1;F2;168
31/01/2019;Entite 1;F3;262
31/01/2019;Entite 1;F4;2
31/01/2019;Entite 1;F5;88
31/01/2019;Entite 1;F6;1330
31/01/2019;Entite 1;F7;716
31/01/2019;Entite 2;F1;1652
31/01/2019;Entite 2;F2;877
31/01/2019;Entite 2;F3;281
31/01/2019;Entite 3;F2;10
31/01/2019;Entite 3;F5;438
31/01/2019;Entite 3;F7;904
31/01/2019;Entite 4;F5;61
31/01/2019;Entite 4;F7;378
31/01/2019;Entite 5;F1;25
31/01/2019;Entite 5;F2;807
31/01/2019;Entite 5;F3;38
31/01/2019;Entite 5;F5;489
31/01/2019;Entite 5;F6;778
31/01/2019;Entite 5;F7;3441
01/02/2019;Entite 1;F1;8
01/02/2019;Entite 1;F2;185
01/02/2019;Entite 1;F3;237
01/02/2019;Entite 1;F5;92
01/02/2019;Entite 1;F6;1351
01/02/2019;Entite 1;F7;743
01/02/2019;Entite 2;F1;1515
01/02/2019;Entite 2;F2;889
01/02/2019;Entite 2;F3;274
01/02/2019;Entite 2;F5;2
01/02/2019;Entite 3;F2;16
01/02/2019;Entite 3;F5;393
01/02/2019;Entite 3;F7;800
